id;nom_fournisseur;adresse;mail;telephone
;VWR;adresse1;email@email.fr;295000000
;Aldrich;adresse2;email@email.fr;295000000
;Sigma-Aldrich;adresse3;email@email.fr;295000000
;Acros;adresse4;email@email.fr;295000000
;RAL;adresse5;email@email.fr;295000000
;Merk;adresse6;email@email.fr;295000000
;Sigma;adresse7;email@email.fr;295000000
;JRC;adresse8;email@email.fr;295000000
;polymer source;adresse9;email@email.fr;295000000
;Biorad;adresse10;email@email.fr;295000000
;Fluka;adresse11;email@email.fr;295000000
;Janssen;adresse12;email@email.fr;295000000
;Alfa Aesar ;adresse13;email@email.fr;295000000
;Acros ;adresse14;email@email.fr;295000000
;Aldrich ;adresse15;email@email.fr;295000000
;Alfa Aesar;adresse16;email@email.fr;295000000
;Inconnu;adresse17;email@email.fr;295000000
;Alfa;adresse18;email@email.fr;295000000
;Strem;adresse19;email@email.fr;295000000
;Prolabo ;adresse20;email@email.fr;295000000
;Janssen ;adresse21;email@email.fr;295000000
;TCI;adresse22;email@email.fr;295000000
